Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8209 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8069 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8796 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8797 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 35.9989 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 22.6423 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 23.3993 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 34.7040 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 46.0933 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 49.7940 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 51.5399 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 52.2793 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 56.3267 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7195 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.8057 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7210 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.6657 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 21.6939 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.4168 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 36.3912 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 26.3356 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.0152 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.0731 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.9669 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 26.0160 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.0115 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 21.0874 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 33.6150 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 43.9981 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 50.7460 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 50.3596 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 50.3348 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7245 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.6642 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 19.4585 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 58.0290 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 60.9270 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.6351 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 22.8200 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 23.3916 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 29.9858 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 22.7404 sec
Cores: 1, Threads: 1, Image: 3712x2160.png, Time: 22.7428 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.0929 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 47.5691 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 51.0080 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.9686 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 52.3483 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 25.6758 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.6932 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 47.1960 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 47.4208 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.8279 sec
